,cell1,cell2,score,dataset1,dataset2,name1,name2
1050,427,91,0.666666666666667,1,2,Cell427,Cell591
1051,428,55,0.5,1,2,Cell428,Cell555
1052,429,17,0.666666666666667,1,2,Cell429,Cell517
1053,429,195,0.75,1,2,Cell429,Cell695
1054,429,121,0.25,1,2,Cell429,Cell621
1055,431,223,0.5,1,2,Cell431,Cell723
1056,432,235,0.5,1,2,Cell432,Cell735
1057,432,79,0.583333333333333,1,2,Cell432,Cell579
1058,432,110,0,1,2,Cell432,Cell610
1059,433,72,0.916666666666667,1,2,Cell433,Cell572
1060,433,219,0.333333333333333,1,2,Cell433,Cell719
1061,434,108,0.583333333333333,1,2,Cell434,Cell608
1062,434,347,0.25,1,2,Cell434,Cell847
1063,435,360,0.916666666666667,1,2,Cell435,Cell860
1064,435,153,0.75,1,2,Cell435,Cell653
1065,436,238,0.583333333333333,1,2,Cell436,Cell738
1066,437,18,1,1,2,Cell437,Cell518
1067,437,63,0.666666666666667,1,2,Cell437,Cell563
1068,437,175,0.75,1,2,Cell437,Cell675
1069,438,225,0.833333333333333,1,2,Cell438,Cell725
1070,438,340,0.75,1,2,Cell438,Cell840
1071,438,230,0.416666666666667,1,2,Cell438,Cell730
1072,439,200,0.5,1,2,Cell439,Cell700
1073,439,424,0.583333333333333,1,2,Cell439,Cell924
1074,440,98,0.75,1,2,Cell440,Cell598
1075,440,87,0.75,1,2,Cell440,Cell587
1076,441,295,1,1,2,Cell441,Cell795
1077,441,330,0.666666666666667,1,2,Cell441,Cell830
1078,441,265,0.5,1,2,Cell441,Cell765
1079,441,333,1,1,2,Cell441,Cell833
1080,442,216,0.75,1,2,Cell442,Cell716
1081,442,196,0.666666666666667,1,2,Cell442,Cell696
1082,442,26,0.5,1,2,Cell442,Cell526
1083,442,23,0.416666666666667,1,2,Cell442,Cell523
1084,443,330,0.333333333333333,1,2,Cell443,Cell830
1085,444,12,0.583333333333333,1,2,Cell444,Cell512
1086,444,445,0.666666666666667,1,2,Cell444,Cell945
1087,446,295,0.75,1,2,Cell446,Cell795
1088,446,306,0.0833333333333333,1,2,Cell446,Cell806
1089,446,85,0.5,1,2,Cell446,Cell585
1090,446,297,0.583333333333333,1,2,Cell446,Cell797
1091,447,160,1,1,2,Cell447,Cell660
1092,448,87,0.833333333333333,1,2,Cell448,Cell587
1093,448,275,0.666666666666667,1,2,Cell448,Cell775
1094,448,302,1,1,2,Cell448,Cell802
1095,448,399,0.25,1,2,Cell448,Cell899
1096,449,195,0.666666666666667,1,2,Cell449,Cell695
1097,449,181,1,1,2,Cell449,Cell681
1098,449,355,0.5,1,2,Cell449,Cell855
1099,450,142,0.583333333333333,1,2,Cell450,Cell642
1100,451,409,0.833333333333333,1,2,Cell451,Cell909
1101,451,27,0.666666666666667,1,2,Cell451,Cell527
1102,451,373,0.416666666666667,1,2,Cell451,Cell873
1103,451,439,0.583333333333333,1,2,Cell451,Cell939
1104,452,133,0.833333333333333,1,2,Cell452,Cell633
1105,452,251,0.5,1,2,Cell452,Cell751
1106,453,336,1,1,2,Cell453,Cell836
1107,453,210,0.416666666666667,1,2,Cell453,Cell710
1108,454,45,1,1,2,Cell454,Cell545
1109,454,229,0.583333333333333,1,2,Cell454,Cell729
1110,455,439,0.583333333333333,1,2,Cell455,Cell939
1111,455,32,0.416666666666667,1,2,Cell455,Cell532
1112,456,72,0.333333333333333,1,2,Cell456,Cell572
1113,456,110,0,1,2,Cell456,Cell610
1114,457,148,0.333333333333333,1,2,Cell457,Cell648
1115,458,247,0.833333333333333,1,2,Cell458,Cell747
1116,458,268,0.416666666666667,1,2,Cell458,Cell768
1117,459,301,0.833333333333333,1,2,Cell459,Cell801
1118,459,249,0.333333333333333,1,2,Cell459,Cell749
1119,459,162,0.583333333333333,1,2,Cell459,Cell662
1120,459,423,0.5,1,2,Cell459,Cell923
1121,460,92,1,1,2,Cell460,Cell592
1122,460,259,0.5,1,2,Cell460,Cell759
1123,460,124,1,1,2,Cell460,Cell624
1124,460,116,1,1,2,Cell460,Cell616
1125,461,5,0.666666666666667,1,2,Cell461,Cell505
1126,462,377,0.75,1,2,Cell462,Cell877
1127,462,311,0.75,1,2,Cell462,Cell811
1128,462,310,0.583333333333333,1,2,Cell462,Cell810
1129,463,426,1,1,2,Cell463,Cell926
1130,463,164,0.583333333333333,1,2,Cell463,Cell664
1131,463,421,0.833333333333333,1,2,Cell463,Cell921
1132,464,256,0.583333333333333,1,2,Cell464,Cell756
1133,464,147,0.833333333333333,1,2,Cell464,Cell647
1134,464,242,0.833333333333333,1,2,Cell464,Cell742
1135,465,419,0.166666666666667,1,2,Cell465,Cell919
1136,465,402,0.75,1,2,Cell465,Cell902
1137,465,190,0.583333333333333,1,2,Cell465,Cell690
1138,466,447,1,1,2,Cell466,Cell947
1139,466,8,0.916666666666667,1,2,Cell466,Cell508
1140,466,174,0.166666666666667,1,2,Cell466,Cell674
1141,467,353,0.583333333333333,1,2,Cell467,Cell853
1142,468,159,0.416666666666667,1,2,Cell468,Cell659
1143,468,100,0.666666666666667,1,2,Cell468,Cell600
1144,468,268,0.583333333333333,1,2,Cell468,Cell768
1145,469,209,0.666666666666667,1,2,Cell469,Cell709
1146,469,108,0.916666666666667,1,2,Cell469,Cell608
1147,469,121,0.583333333333333,1,2,Cell469,Cell621
1148,470,172,1,1,2,Cell470,Cell672
1149,470,204,0.333333333333333,1,2,Cell470,Cell704
1150,471,309,0.25,1,2,Cell471,Cell809
1151,471,55,0.333333333333333,1,2,Cell471,Cell555
1152,471,247,0.5,1,2,Cell471,Cell747
1153,472,276,0.416666666666667,1,2,Cell472,Cell776
1154,472,343,0.416666666666667,1,2,Cell472,Cell843
1155,473,59,1,1,2,Cell473,Cell559
1156,473,115,1,1,2,Cell473,Cell615
1157,473,42,0.666666666666667,1,2,Cell473,Cell542
1158,474,381,0.416666666666667,1,2,Cell474,Cell881
1159,474,116,0.833333333333333,1,2,Cell474,Cell616
1160,474,23,0.333333333333333,1,2,Cell474,Cell523
1161,474,205,0.75,1,2,Cell474,Cell705
1162,475,438,0.75,1,2,Cell475,Cell938
1163,475,101,0,1,2,Cell475,Cell601
1164,476,449,0.5,1,2,Cell476,Cell949
1165,476,286,0.5,1,2,Cell476,Cell786
1166,476,44,0.583333333333333,1,2,Cell476,Cell544
1167,477,125,0.333333333333333,1,2,Cell477,Cell625
1168,477,117,0.666666666666667,1,2,Cell477,Cell617
1169,477,224,0.333333333333333,1,2,Cell477,Cell724
1170,478,34,0.666666666666667,1,2,Cell478,Cell534
1171,478,216,0.5,1,2,Cell478,Cell716
1172,478,22,0.5,1,2,Cell478,Cell522
1173,479,327,0.833333333333333,1,2,Cell479,Cell827
1174,479,441,0.583333333333333,1,2,Cell479,Cell941
1175,479,210,0.666666666666667,1,2,Cell479,Cell710
1176,480,59,1,1,2,Cell480,Cell559
1177,480,291,0.75,1,2,Cell480,Cell791
1178,481,387,1,1,2,Cell481,Cell887
1179,481,123,0.333333333333333,1,2,Cell481,Cell623
1180,481,408,0.25,1,2,Cell481,Cell908
1181,482,102,1,1,2,Cell482,Cell602
1182,482,72,0.75,1,2,Cell482,Cell572
1183,482,386,0.25,1,2,Cell482,Cell886
1184,483,413,1,1,2,Cell483,Cell913
1185,484,400,0.416666666666667,1,2,Cell484,Cell900
1186,484,319,0.25,1,2,Cell484,Cell819
1187,484,364,0.583333333333333,1,2,Cell484,Cell864
1188,485,358,0.916666666666667,1,2,Cell485,Cell858
1189,485,161,0.916666666666667,1,2,Cell485,Cell661
1190,485,182,0.833333333333333,1,2,Cell485,Cell682
1191,485,206,0.333333333333333,1,2,Cell485,Cell706
1192,485,435,0.25,1,2,Cell485,Cell935
1193,486,145,1,1,2,Cell486,Cell645
1194,486,356,0.916666666666667,1,2,Cell486,Cell856
1195,486,364,0.75,1,2,Cell486,Cell864
